disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0171,CYP17A1,"17-alpha-hydroxylase/17,20-lyase deficiency",OMIM:202110,AR,growth / weight concern; musculoskeletal concern; renal / urinary concern; skin concern
D0008,ACADSB,2-methylbutyrylglycinuria,OMIM:610006,AR,developmental delay concern; renal / urinary concern; respiratory concern; seizure-like event concern; vision / ocular tracking concern
D0311,HIBCH,3-hydroxyisobutryl-CoA hydrolase deficiency,OMIM:250620,AR,developmental delay concern; developmental regression concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; renal / urinary concern; respiratory / cardiopulmonary concern; seizure-like event concern; vision / ocular tracking concern
D0391,MCCC1,3-Methylcrotonyl-CoA carboxylase 1 deficiency,OMIM:210200,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; renal / urinary concern; respiratory concern; seizure-like event concern
D0392,MCCC2,3-Methylcrotonyl-CoA carboxylase 2 deficiency,OMIM:210210,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern; skin concern
D0558,SERAC1,"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",OMIM:614739,AR,developmental delay concern; developmental regression concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hearing concern; language / cognitive concern; recurrent / unusual infection concern; renal / urinary concern; seizure-like event concern
D0067,AUH,"3-methylglutaconic aciduria, type I",OMIM:250950,AR,developmental delay concern; gait / coordination concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern
D0202,DNAJC19,"3-methylglutaconic aciduria, type V",OMIM:610198,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; motor weakness concern; renal / urinary concern; respiratory / cardiopulmonary concern; seizure-like event concern
D0144,CLPB,"3-methylglutaconic aciduria, type VIIA, autosomal dominant",OMIM:619835,AD,developmental delay concern; developmental regression concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; seizure-like event concern; vision / ocular tracking concern
D0145,CLPB,"3-methylglutaconic aciduria, type VIIB, autosomal recessive",OMIM:616271,AR,developmental delay concern; gastrointestinal concern; renal / urinary concern; seizure-like event concern
D0415,MTTP,Abetalipoproteinemia,OMIM:200100,AR,gait / coordination concern; gastrointestinal concern
D0001,AAAS,Achalasia-addisonianism-alacrimia syndrome,OMIM:231550,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; motor weakness concern; skin concern
D0252,FGFR3,Achondroplasia,OMIM:100800,AD,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; growth / weight concern; hearing concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern
D0587,SLC39A4,Acrodermatitis enteropathica,OMIM:201100,AR,gait / coordination concern; gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; skin concern; social interaction / behavioral concern
D0007,ACADS,"Acyl-CoA dehydrogenase, short-chain, deficiency of",OMIM:201470,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; respiratory / cardiopulmonary concern; seizure-like event concern; vision / ocular tracking concern
D0051,APRT,Adenine phosphoribosyltransferase deficiency,OMIM:614723,AR,gastrointestinal concern; musculoskeletal concern; renal / urinary concern
D0023,ADSL,Adenylosuccinase deficiency,OMIM:103050,AR,developmental delay concern; gait / coordination concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern; vision / ocular tracking concern
D0326,HSD3B2,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",OMIM:201810,AR,renal / urinary concern
D0439,NR0B1,"Adrenal hypoplasia, congenital",OMIM:300200,XLR,growth / weight concern; renal / urinary concern; skin concern
D0169,CYP11A1,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",OMIM:613743,AR,renal / urinary concern; skin concern
D0625,TBX19,Adrenocorticotropic hormone deficiency,OMIM:201400,AR,gastrointestinal concern; seizure-like event concern; skin concern
D0003,ABCD1,Adrenoleukodystrophy,OMIM:300100,XLR,gait / coordination concern; gastrointestinal concern; hearing concern; language / cognitive concern; motor weakness concern; renal / urinary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0249,FGA,"Afibrinogenemia, congenital",OMIM:202400,AR,gastrointestinal concern; hematologic / bleeding concern; skin concern
D0250,FGB,"Afibrinogenemia, congenital",OMIM:202400,AR,gastrointestinal concern; hematologic / bleeding concern; skin concern
D0253,FGG,"Afibrinogenemia, congenital",OMIM:202400,AR,gastrointestinal concern; hematologic / bleeding concern; skin concern
D0334,IGHM,Agammaglobulinemia 1,OMIM:601495,AR,recurrent / unusual infection concern; respiratory concern
D0335,IGLL1,Agammaglobulinemia 2,OMIM:613500,AR,growth / weight concern
D0111,CD79A,Agammaglobulinemia 3,OMIM:613501,AR,gastrointestinal concern; growth / weight concern; recurrent / unusual infection concern; respiratory concern
D0076,BLNK,Agammaglobulinemia 4,OMIM:613502,AR,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern
D0112,CD79B,Agammaglobulinemia 6,OMIM:612692,AR,gastrointestinal concern; recurrent / unusual infection concern; respiratory concern
D0487,PIK3R1,Agammaglobulinemia 7,OMIM:615214,AR,recurrent / unusual infection concern; respiratory concern; skin concern
D0568,SLC16A2,Allan-Herndon-Dudley syndrome,OMIM:300523,XLR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; language / cognitive concern; musculoskeletal concern; vision / ocular tracking concern
D0010,ACAT1,Alpha-methylacetoacetic aciduria,OMIM:203750,AR,developmental delay concern; gastrointestinal concern; language / cognitive concern; renal / urinary concern
D0668,COL4A3,"Alport syndrome 3B, autosomal recessive",OMIM:620536,AR,renal / urinary concern
D0669,COL4A4,"Alport syndrome 2, autosomal recessive",OMIM:203780,AR,renal / urinary concern
D0670,COL4A5,"Alport syndrome 1, X-linked",OMIM:301050,XLD,renal / urinary concern
D0322,HSD11B2,Apparent mineralocorticoid excess,OMIM:218030,AR,growth / weight concern
D0356,KAT6A,Arboleda-Tham syndrome,OMIM:616268,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0054,ARG1,Argininemia,OMIM:207800,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern
D0060,ASL,Argininosuccinic aciduria,OMIM:207900,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; skin concern
D0178,DDC,Aromatic amino acid decarboxylase deficiency,OMIM:608643,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; renal / urinary concern; respiratory concern; skin concern; social interaction / behavioral concern
D0224,ENPP1,"Arterial calcification, generalized, of infancy, 1",OMIM:208000,AR,growth / weight concern; musculoskeletal concern; renal / urinary concern; respiratory / cardiopulmonary concern; respiratory concern
D0544,SAMD9L,Ataxia pancytopenia syndrome,OMIM:159550,AD,gait / coordination concern; hematologic / bleeding concern; language / cognitive concern; vision / ocular tracking concern
D0650,TTPA,Ataxia with vitamin E deficiency,OMIM:277460,AR,gait / coordination concern; language / cognitive concern; skin concern
D0630,TF,Atransferrinemia,OMIM:209300,AR,gastrointestinal concern; hematologic / bleeding concern
D0431,NKX2-5,Atrial septal defect with atrioventricular conduction defects,OMIM:108900,AD,respiratory / cardiopulmonary concern; respiratory concern
D0448,OTOF,"Auditory neuropathy, autosomal recessive, 1",OMIM:601071,AR,hearing concern
D0030,AIRE,"Autoimmune polyendocrinopathy syndrome, type I, with or without reversible metaphyseal dysplasia",OMIM:240300,AR,gastrointestinal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0345,INS,"Autosomal dominant diabetes mellitus, permanent neonatal 4",OMIM:618858,AR,growth / weight concern
D0062,ASXL3,Bainbridge-Ropers syndrome,OMIM:615485,AD,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
