pan_syndrome_id,HPO_ID,HPO_term,source_note
PS001,HP:0001263,Global developmental delay,mock_mapping
PS001,HP:0001252,Hypotonia,mock_mapping
PS001,HP:0002194,Delayed gross motor development,mock_mapping
PS001,HP:0001270,Motor delay,mock_mapping
PS001,HP:0002069,Bilateral tonic-clonic seizure,mock_mapping
PS003,HP:0000758,Impaired social interactions,mock_mapping
PS003,HP:0000729,Autistic behavior,mock_mapping
PS003,HP:0000736,Short attention span,mock_mapping
PS003,HP:0001268,Mental deterioration,mock_mapping
PS005,HP:0002376,Developmental regression,mock_mapping
PS005,HP:0001268,Mental deterioration,mock_mapping
PS005,HP:0001250,Seizure,mock_mapping
PS005,HP:0001347,Hyperreflexia,mock_mapping
PS007,HP:0001252,Hypotonia,mock_mapping
PS007,HP:0001288,Gait disturbance,mock_mapping
PS007,HP:0002317,Unsteady gait,mock_mapping
PS009,HP:0001249,Intellectual disability,mock_mapping
PS009,HP:0000750,Delayed speech and language development,mock_mapping
PS009,HP:0000708,Behavioral abnormality,mock_mapping
